문제,선택지,답안
다음 중 상관 계수 r의 값을 변경할 수 있는 것은 무엇입니까?,"['측정 단위의 변경', '어느 변수를 x로, 어느 변수를 y로 부르는지의 변경', 'x 변수의 모든 값에 동일한 상수를 더하는 것', '위의 어느 것도 r 값을 변경할 수 없다.']",3
"한 건물 소유자가 도시에 있는 큰 건물을 소유하고 있었습니다. 소유자는 건물을 상인에게 월 $10,000의 임대료로 20년 동안 임대했습니다. 건물 소유자와 상인 간의 임대차 계약서에는 상인이 ""잘 알려진 신용 평가 회사에서 'A' 신용 등급을 받은 법인 외에는 이 임대차를 양도할 수 없다""고 명시되어 있었습니다. 한 달 후, 상인은 필요한 신용 등급을 갖추지 않은 법인에게 건물을 임대했습니다. 상인-법인 임대는 5년 동안 월 $15,000의 임대료로 법인이 상인에게 지불하는 조건이었습니다. 또한, 법인은 ""건물 소유자와 상인 간의 임대차 계약의 모든 조건을 준수할 것""에 동의했습니다. 1년 후, 법인은 상인-법인 임대의 남은 기간 동안 비영리 단체에게 건물을 임대했습니다. 비영리 단체는 법인이 건물을 비우는 당일에 해당 건물을 점유했습니다. 법인-비영리 임대차 계약에 따라, 비영리 단체는 법인에게 월 $17,500의 임대료를 직접 지불해야 했습니다. 비영리 단체는 잘 알려진 신용 평가 회사에서 'B' 신용 등급을 가지고 있습니다. 다음 중 다양한 당사자 간의 법적 관계에 대해 올바르지 않은 것은 무엇입니까?","['건물 소유자와 상인 간에는 부동산 소유권과 계약상의 관계가 존재합니다.', '상인과 법인 간에는 부동산 소유권과 계약상의 관계가 존재합니다.', '건물 소유자와 법인 간에는 부동산 소유권 관계는 존재하지만 계약상의 관계는 존재하지 않습니다.', '건물 소유자와 비영리 단체 간에는 부동산 소유권 관계도 계약상의 관계도 존재하지 않습니다.']",2
유전율이 4.0인 비자성 유전체 내부에서의 빛의 속도는 _______입니다.,"['1.2 x 10^9 m/s', '3.0 x 10^8 m/s', '1.5 x 10^8 m/s', '1.0 x 10^8 m/s']",2
다음 중 완전 경쟁 하에서 가격(P)이 한계 수익(MR)과 같은 이유와 독점 또는 불완전 경쟁 하에서 가격(P)이 한계 수익보다 큰 이유를 올바르게 설명한 것은 무엇입니까? I. 완전 경쟁에서는 MR = P = 수요가 수평 함수입니다. II. 불완전 경쟁에서는 P > MR이 하향 경사 함수로 나타납니다. III. 불완전 경쟁에서는 수요와 가격이 수직 함수로 나타납니다.,"['I, II, III.', 'I와 II.', 'I만.', 'I와 III.']",1
다음 중 어떤 것이 일부 지역에서 일반적으로 큰 조수 범위(최대 60피트)가 있고 다른 지역에서는 1~2피트의 조수 범위를 가지는 이유를 가장 잘 설명합니까?,"['태양의 위치가 지역마다 다릅니다.', '코리올리 효과와 지구의 자전이 고위도에서 조수 흐름을 증대시키는 경향이 있습니다.', '해저 지형과 해안선의 모양이 특정 지역에서 조수 흐름을 증폭시키는 역할을 합니다.', '무역풍이 물을 바위 해안 근처의 큰 조수 융기로 밀어냅니다.']",2
1986년 리비아 지도자 무아마르 카다피가 '죽음의 선'이라고 부른 선을 그은 해역은 어디입니까?,"['시드라만', '오만만', '홍해', '페르시아만']",0
다음 중 주로 화학적 감각은 무엇입니까?,"['촉각', '시각', '미각', '청각']",2
다음 중 자연 선택의 추론에 해당하는 진술은 무엇입니까?,"['후속 세대의 개체군은 성공에 더 적합한 특성을 가진 개체의 비율이 더 높아야 합니다.', '개별 유기체는 일생 동안 진화를 겪습니다.', '서식지는 일반적으로 무한한 자원을 가지고 있지 않습니다.', '자연 개체군은 일반적으로 그들의 생물학적 잠재력에 따라 번식하는 경향이 있습니다.']",0
다음 두 가지 시나리오 중 어느 것에서 주인공(나/저/내가 사용하는)이 2020년 미국의 일반적인 도덕적 기준에 따르면 명백히 도덕적으로 잘못된 행동을 했습니까? 시나리오 1 | 동물원을 보는 것이 슬퍼서 우리 도시 동물원의 동물들을 풀어주기로 결정했습니다. 시나리오 2 | 영화가 상영되는 동안 공공 극장에서 친구에게 잠시 속삭였습니다.,"['잘못, 잘못', '잘못, 잘못 아님', '잘못 아님, 잘못', '잘못 아님, 잘못 아님']",1
불감성 손실은 _______에서 발생하지 않습니다.,"['발열.', '비가습 산소 사용.', '과도한 체중 감소.', '설사.']",2
뉴런 막 전위가 +50 밀리볼트에서 -70 밀리볼트로 변화하는 것은 _______로 간주됩니다.,"['탈분극', '재분극', '과분극', '활동 전위']",1
다음 중 어느 장애가 빛에 민감한 사람이 노출되는 빛의 양과 가장 관련이 있을 가능성이 높습니까?,"['계절성 정동 장애', '폐소공포증', '알츠하이머병', '긴장성 정신분열증']",0
"성희롱의 맥락에서 ""quid pro quo""는 다음을 의미합니다:","['직원이 성적인 요구에 대한 반응이 그의/그녀의 직업에 영향을 미치는 상황.', '""성적으로 공격적인 행동으로 인해 """"적대적인 환경""""이 조성되는 것.""', '""합리적인 여성""""이 그 행동을 불쾌하다고 판단하는 것.""', '명백한 (명시적인) 성적 행동.']",0
"2020년 기준 미국의 일반적인 도덕 기준에 따르면, 이 두 시나리오 중 어느 시나리오에서 주인공(나/내가/내)은 명백히 도덕적으로 잘못된 행동을 하나요? 시나리오 1 | 나는 자동차의 브레이크를 고장 냈다. 시나리오 2 | 나는 생일 선물로 할머니가 주신 수표를 현금화하기 전에 내 이름을 뒷면에 추가했다.","['잘못됨, 잘못됨', '잘못됨, 잘못되지 않음', '잘못되지 않음, 잘못됨', '잘못되지 않음, 잘못되지 않음']",1
"마누엘은 중고차를 6,049달러에 샀습니다. 마누엘이 산 중고차의 가격을 숫자로 쓰면 얼마입니까?","['$649 ', '$6,049 ', '$6,409 ', '$6,490 ']",1
다음 중 _tu quoque_ 오류를 설명하는 것은 무엇입니까?,"[""상대방의 입장을 우스꽝스럽게 보이도록 요약하는 것"", ""논쟁에서 불러일으킨 감정에만 근거하여 동의를 얻으려 하는 것"", ""비난자가 똑같은 일을 한다고 말하며 비난에 대응하는 것"", ""해당 입장에 대한 부정적인 개인 감정에만 근거하여 그 입장에 반대하는 것""]",2
"2020년 현재 미국의 일반적인 도덕 기준에 따르면, 이 두 가지 시나리오 중 어느 시나리오에서 주인공(나/내가/내가 사용하는)이 명백히 도덕적으로 잘못된 행동을 합니까? 시나리오 1 | 퇴근 후, 나는 저녁으로 먹기 위해 내 아기를 요리하기로 결정했다. 시나리오 2 | 나는 장난꾸러기 아이를 구석에 세워 놓고 반성 시간을 주었다.","['잘못됨, 잘못됨', '잘못됨, 잘못되지 않음', '잘못되지 않음, 잘못됨', '잘못되지 않음, 잘못되지 않음']",1
"케이코는 하루 종일 새를 관찰하며 오전에 오후보다 34마리 더 많은 새를 세었습니다. 그녀가 총 76마리의 새를 세었다면, 오후에 몇 마리의 새를 세었습니까?","['21마리', '40마리', '42마리', '84마리']",0
인플루엔자 바이러스는 주로 다음 중 어느 것으로 특징지어지는 복잡한 유전자를 가지고 있습니까?,"['8개의 유전자 간의 유전자 재배열', '높은 수준의 재조합', '소수성 펩타이드를 통한 빠른 흡착 및 융합', '높은 정확도의 RNA 복제 효소']",1
레트로바이러스는 어떻게 발견되었습니까?,"['닭에서 Rous 육종으로', '사람에서 HTLV-1로', '쥐에서 백혈병을 일으키는 것으로', '고양이에서 백혈병을 일으키는 것으로']",2
